Algorithm Type,Algorithm,Implmentation Notes,Tracking Speed,Accuracy ,Computational Complexity,Implementation Difficulty,Power Consumption,Stability,Total,,,,,,,,,
Trial and Error,PV output senseless,Only for large PV systems,2,4,5,5,4,3,3.55,,,,,,,,,
Measurement and Comparison,Linear Current Control,"Power-Current curves measured for varying irrdiance, the linear intersection of those curves is used to determine MPP ",5,3,2.5,2.5,4.5,4.9,3.83,,,,,,,,,
Measurement and Comparison,Look-up table,Large system memory for storing values,4.25,4.3,1.75,3,3.5,4.5,3.775,,,,,,,,,
Measurement and Comparison,V or I maximization,Assumes that the DC-DC converter is lossless,3,3,4,4,4,3,3.3,,,,,,,,,
Measurement and Comparison,Adaptive Reference Voltage (ARV),"Like CV, but temperature and irrdiance are measured",3,3,4,3,2,3,3.1,,,,,,,,,
Mathematical Calculation,Current Sweep,Exponential sweep is used to find the V-I characteristic at varying time intervals,5,2,4,3,3,2,3.2,,,,,,,,,
Mathematical Calculation,Beta Method,Intermediate variable B that takes into account panel characteristics is used to find the search range for another MPPT method,3,4.1,3.6,3.85,3.8,3.5,3.59,,,,,,,,,
Mathematical Calculation,Incremental Conductance (IC),"Calculate variation of power with respect to voltage, perturb the voltage similar to P&O",3,3.8,4,3.9,4,3,3.49,,,,,,,,,
Mathematical Calculation,Variable Step Incremental Conductance,Same as IC expect the step size is based on the distance from MPP,3.5,3.8,3.8,3,3.8,3.5,3.585,,,,,,,,,
Mathematical Calculation,Variable Step-Size Incremental-Resistance,"Same as previous expect step size is determined by an exponential threshold function, C = P^n*abs(dP/dI)",4,3.85,2.75,2.9,4.1,3.5,3.57,,,,,,,,,
Mathematical Calculation,Ripple Correlation Control,"Uses the ripple introduced by the power converter to track the MPP, the time derivatives of the PV array current and voltage are driven to zero ",4,3.7,2.5,2.9,4,3,3.39,,,,,,,,,
Mathematical Calculation,Methods by Modulation,"Ripple is injected into power converter, the phase between the voltage and power is used to find MPP",3,3,3,3,3,3,3,,,,,,,,,
Mathematical Calculation,dP/dV or dP/dI Feedback Control,"Calculate dP/dV or dP/dI and use controller to drive it to zero, the signs of the past few cycles are used to determine the duty cycle",4,3.95,2.85,3.2,4.1,4.2,3.78,,,,,,,,,
Mathematical Calculation,Impp & Vmpp Computation ,"Vmpp computed using irrdiance and temperature, feedback control used to make the panel operate at Vmpp",4,3.5,3,2.6,4,4.98,3.781,,,,,,,,,
Mathematical Calculation,State-based MPPT,No existing hardware implementation or experiementation,4,4,1,1,2,4,3.15,,,,,,,,,
Mathematical Calculation,Sliding Mode Control (SMC),Variation of power with respect to voltage used to determine switching state of MOSFET,4.8,3.5,2.5,3,3,2,3.3,,,,,,,,,
Mathematical Calculation,Curve-Fitting,"Samples power, voltage and current, attempts to constantly calculate the PV curve using polynomials coefficients determined by panel specs",3,4.5,2.8,3,3,4,3.545,,,,,,,,,
Mathematical Calculation,Differentiation Method,"Time dervatives of power, voltage and current are solved to find MPP",4.5,4.5,2,3,2,4,3.75,,,,,,,,,
Mathematical Calculation,Linear reoriented coordinate,Requires measurement of Voc and Isc,3,3,3,3,3,3,3,,,,,,,,,
Mathematical Calculation,Parasitic capacitance,Several parallel connected PV modules needed,4.65,4,2,2.2,4.7,4.9,3.8975,,,,,,,,,
Intelligent Prediction,Fuzzy Logic Control (FLC),Inputs Change in Voltage and Power to output duty cycle based on a set of membership functions (rules),4.8,4.7,1.7,2,3.33,4.9,3.9765,,,,,,,,,
Intelligent Prediction,Artificial Neural Network (ANN),"A neural network has 3 layers: input, hidden, and output. The input variables to the MPPT system include Voc, Isc, temperature and irrandiance. In the hidden layer, different weights are assigned to each variable in a process called training. The network then produces an Impp and Vmpp at the output layer. ",4,4,2,2,2,4,3.4,,,,,,,,,
Intelligent Prediction,Cuckoo Search (CS) based Global MPPT,"The behavior of the Cuckoo bird's social behavior is used to find the MPP. At a very basic level, it determines the probability of a cuckoo egg hatching and the host bird returning to the nest. A special fitness function is used to to fine tune the PV array operating voltage and step size.",2,1,1,1,2,1,1.3,,,,,,,,,
Intelligent Prediction,Partical Swarm Optimization (PSO),"As an analogy to a flock of birds, particles are randomly placed along the I-V curve. The particles' objective is to converge at MPPT point using velocity and position equations that use individual and global power values of the particles to find point of convergence.",4.8,4.7,1.85,2,3.4,4.88,3.9985,,,,,,,,,
Intelligent Prediction,Grey Wolf Optimization (GWO),Uses the leadership hierarchy and chasing mechanism of grey wolves. This algorithm is more indepent of the PV array characteristics.,4.9,4.9,1.6,1.5,3,4.95,3.98,,,,,,,,,
Intelligent Prediction,Ant Colony Optimization (ACO),"Involves a greedy search algorithm, positive feedback mechanism and distributed computing. The positive feedback helps in identifying the best optimal MPP while the distributed computing encourages the algorithm to stay away from premature convergence. ",4.7,4.7,1,1,3.6,4.5,3.68,,,,,,,,,
Intelligent Prediction,Artifical Bee Colony (ABC),"Honey bees search for food by dividing themselves into groups. The groups used in the algorithm are employed, onlooker and scouts. If the number of employed bees is more abundant in the group, the better the performance. ",2,2,2,2,2,2,2,,,,,,,,,
Intelligent Prediction,Gauss Newton Technique,"Gauss and Newton techniques used to solve nonlinear problems associated with the least square approximation. In one separate methods, a second derivative needs to be calculated, however the combined technique breaks the MPP function into a vector based model (regression function) and a scalar value loss (error between anticipated output and target value).",5,4.8,2,1.1,2.5,4.2,3.825,,,,,,,,,
Intelligent Prediction,Fibonacci Series,Fibonacci Series  limits search range. It constantly shifts the range around based on the success of the previous iteration. The range constantly decreases (according to the Fibonacci sequence) until the MPP is reached.,5,4.6,3,2.3,3,4,4.03,,,,,,,,,
Hybrid,Fuzzy Particle Swarm Optimization (FPSO),Uses the particle swarm method to simplify and optimize the base values for fuzzy logic membership function.,4.5,5,4,1.7,3,4,4.095,,,,,,,,,
Hybrid,Adaptive Neuro Fuzzy Interence System (ANFIS),Combines ANN with FLC. The neural network used to tune the fuzzy logic membership functions.,1,1,1,1,2,1,1.05,,,,,,,,,
Hybrid,GWO-P&O,"Starts by searching for the MPP using GWO. Once smaller search space found, the P&O method fine tunes the MPP. ",5,4.85,3.5,1,3,4,4.0375,,,,,,,,,
Hybrid,PSO-P&O,"Uses P&O to determine local MPP, then global MPP is found using the PSO technique.  ",5,4.85,3.3,2.5,3,4.8,4.3175,,,,,,,,,
Hybrid,HC-ANFIS,"Combines a hill-climbing technique with  hybrid ANFIS technique. The ANFIS algorithm calculates the duty cycle independent of system, sends information to the hc controller which fines tunes the MPP.",5,5,1,2,2,5,3.95,,,,,,,,,
